,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return
301,transfer,DQN-ReLU-vf5-transfer,59,optimizer.alpha,0.001,9.782,6426.4
302,transfer,DQN-ReLU-vf5-transfer,6,optimizer.alpha,0.001,9.774,5075.2
303,transfer,DQN-ReLU-vf5-transfer,60,optimizer.alpha,0.001,10.0,6373.8
304,transfer,DQN-ReLU-vf5-transfer,61,optimizer.alpha,0.001,9.994,5891.8
305,transfer,DQN-ReLU-vf5-transfer,62,optimizer.alpha,0.0003,9.532,5282.2
306,transfer,DQN-ReLU-vf5-transfer,63,optimizer.alpha,0.0003,9.896,7950.2
307,transfer,DQN-ReLU-vf5-transfer,64,optimizer.alpha,0.001,9.808,7157.2
308,transfer,DQN-ReLU-vf5-transfer,65,optimizer.alpha,0.0003,9.736,6546.6
309,transfer,DQN-ReLU-vf5-transfer,66,optimizer.alpha,0.001,9.718,6182.0
310,transfer,DQN-ReLU-vf5-transfer,67,optimizer.alpha,0.0003,9.844,7465.2
311,transfer,DQN-ReLU-vf5-transfer,68,optimizer.alpha,0.001,9.842,7164.2
312,transfer,DQN-ReLU-vf5-transfer,69,optimizer.alpha,0.0001,9.928,8960.2
313,transfer,DQN-ReLU-vf5-transfer,7,optimizer.alpha,0.0003,9.962,5410.4
314,transfer,DQN-ReLU-vf5-transfer,70,optimizer.alpha,0.001,9.732000000000003,6587.6
315,transfer,DQN-ReLU-vf5-transfer,71,optimizer.alpha,0.001,9.994,9165.4
316,transfer,DQN-ReLU-vf5-transfer,72,optimizer.alpha,0.001,10.0,8776.4
317,transfer,DQN-ReLU-vf5-transfer,73,optimizer.alpha,0.0003,9.89,8196.4
318,transfer,DQN-ReLU-vf5-transfer,74,optimizer.alpha,0.001,9.83,6333.6
319,transfer,DQN-ReLU-vf5-transfer,75,optimizer.alpha,0.0003,9.98,7899.4
320,transfer,DQN-ReLU-vf5-transfer,76,optimizer.alpha,0.0003,9.898,7420.4
321,transfer,DQN-ReLU-vf5-transfer,77,optimizer.alpha,0.001,9.632000000000001,5818.8
322,transfer,DQN-ReLU-vf5-transfer,78,optimizer.alpha,0.0003,9.996,8915.8
323,transfer,DQN-ReLU-vf5-transfer,79,optimizer.alpha,0.0003,9.692,6944.4
324,transfer,DQN-ReLU-vf5-transfer,8,optimizer.alpha,0.0003,9.934000000000001,4633.0
325,transfer,DQN-ReLU-vf5-transfer,80,optimizer.alpha,0.001,9.568000000000001,5436.2
326,transfer,DQN-ReLU-vf5-transfer,81,optimizer.alpha,0.001,9.656,6454.6
327,transfer,DQN-ReLU-vf5-transfer,82,optimizer.alpha,0.001,9.372,5163.2
328,transfer,DQN-ReLU-vf5-transfer,83,optimizer.alpha,0.001,9.648,5985.4
329,transfer,DQN-ReLU-vf5-transfer,84,optimizer.alpha,0.001,9.726000000000003,4915.0
330,transfer,DQN-ReLU-vf5-transfer,85,optimizer.alpha,0.001,9.676,6421.0
331,transfer,DQN-ReLU-vf5-transfer,86,optimizer.alpha,0.0003,9.272,5351.0
332,transfer,DQN-ReLU-vf5-transfer,87,optimizer.alpha,0.0003,9.99,8681.2
333,transfer,DQN-ReLU-vf5-transfer,88,optimizer.alpha,0.001,9.716,6225.2
334,transfer,DQN-ReLU-vf5-transfer,89,optimizer.alpha,0.001,9.919999999999998,8573.0
335,transfer,DQN-ReLU-vf5-transfer,9,optimizer.alpha,0.0003,9.928,4365.2
336,transfer,DQN-ReLU-vf5-transfer,90,optimizer.alpha,0.0003,9.364,4712.0
337,transfer,DQN-ReLU-vf5-transfer,91,optimizer.alpha,0.003,9.928,7808.8
338,transfer,DQN-ReLU-vf5-transfer,92,optimizer.alpha,0.0003,9.148,4933.6
339,transfer,DQN-ReLU-vf5-transfer,93,optimizer.alpha,0.001,9.558,5478.0
340,transfer,DQN-ReLU-vf5-transfer,94,optimizer.alpha,0.001,9.958,5942.8
341,transfer,DQN-ReLU-vf5-transfer,95,optimizer.alpha,0.0003,9.216,4368.4
342,transfer,DQN-ReLU-vf5-transfer,96,optimizer.alpha,0.0003,9.258,5101.0
343,transfer,DQN-ReLU-vf5-transfer,97,optimizer.alpha,0.0003,9.968,7260.0
344,transfer,DQN-ReLU-vf5-transfer,98,optimizer.alpha,0.0003,9.308000000000002,4651.4
345,transfer,DQN-ReLU-vf5-transfer,99,optimizer.alpha,0.001,9.794,4684.2
