,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
108,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-105,105,optimizer.alpha,0.001,7.692,2251.2,0.9775661349357243
109,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-110,110,optimizer.alpha,0.001,9.748,6953.0,0.9992870558880448
110,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-115,115,optimizer.alpha,0.0003,4.116,785.2,0.7973662602154032
111,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-120,120,optimizer.alpha,0.001,8.258,2620.2,0.985300279668565
112,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-125,125,optimizer.alpha,0.0003,2.286,499.0,0.46521257769344404
113,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-130,130,optimizer.alpha,0.001,8.538,4251.6,0.999367088607595
114,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-135,135,optimizer.alpha,0.001,7.998000000000002,3630.0,0.9993031337734275
115,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-140,140,optimizer.alpha,0.001,9.524000000000001,5828.2,0.9965286414021918
116,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-145,145,optimizer.alpha,0.001,9.248,4843.8,0.9990243902439024
117,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-15,15,optimizer.alpha,0.0003,9.616,4657.8,0.9978538849259792
118,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-150,150,optimizer.alpha,0.001,8.072,3305.6,0.9928463687110817
119,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-155,155,optimizer.alpha,0.0003,7.172,2127.4,0.978850038011269
120,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-160,160,optimizer.alpha,0.0003,8.824000000000002,4423.0,0.9976187124661454
121,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-165,165,optimizer.alpha,0.001,8.482000000000001,3136.0,0.9915910453834401
122,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-170,170,optimizer.alpha,0.001,7.728,2268.8,0.9810644084336546
123,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-20,20,optimizer.alpha,0.0003,9.24,5108.6,0.9996845425867509
124,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-25,25,optimizer.alpha,0.0003,9.452000000000002,4651.4,0.9992598931945775
125,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-30,30,optimizer.alpha,0.0003,9.443999999999999,4832.4,1.0
126,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-35,35,optimizer.alpha,0.001,9.722,4714.4,0.9996563573883162
127,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-40,40,optimizer.alpha,0.0003,9.686,6811.0,0.9997590361445784
128,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-45,45,optimizer.alpha,0.001,9.692,5201.4,0.9987726137683579
129,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-5,5,optimizer.alpha,0.0003,9.354,3865.8,0.9965330185540624
130,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-50,50,optimizer.alpha,0.0003,9.74,7466.0,0.9993047508690613
131,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-55,55,optimizer.alpha,0.001,9.527999999999999,6434.8,0.9987249610841602
132,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-60,60,optimizer.alpha,0.001,9.048,4965.2,0.9993749938964248
133,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-65,65,optimizer.alpha,0.001,9.379999999999999,5860.4,0.9985758918272143
134,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-70,70,optimizer.alpha,0.001,9.796000000000001,7846.2,0.999786552828175
135,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-75,75,optimizer.alpha,0.001,8.935999999999998,4441.0,0.9976062610643803
136,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-80,80,optimizer.alpha,0.001,9.208,5499.2,0.9991602075865472
137,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-85,85,optimizer.alpha,0.001,6.287999999999999,1724.2,0.9387789241305391
138,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-90,90,optimizer.alpha,0.0003,9.634,6925.6,0.9997719498289623
139,gridworldpartial_transfer_hyper_sweep,DRQN-ReLU-Gridworld-95,95,optimizer.alpha,0.001,9.134,4344.2,0.997112416370935
