,Environment,Algorithm,Goal,Seed,AUC,Experiment
185,transfer,DQN-ReLU-vf5-transfer-73,74,0,9.29,DQN-ReLU-vf5-transfer
186,transfer,DQN-ReLU-vf5-transfer-73,74,1,10.0,DQN-ReLU-vf5-transfer
187,transfer,DQN-ReLU-vf5-transfer-73,74,4,10.0,DQN-ReLU-vf5-transfer
188,transfer,DQN-ReLU-vf5-transfer-73,74,2,9.16,DQN-ReLU-vf5-transfer
189,transfer,DQN-ReLU-vf5-transfer-73,74,3,10.0,DQN-ReLU-vf5-transfer
190,transfer,DQN-ReLU-transfer-136,137,1,5.720000000000001,DQN-ReLU-transfer
191,transfer,DQN-ReLU-transfer-136,137,0,7.3,DQN-ReLU-transfer
192,transfer,DQN-ReLU-transfer-136,137,4,5.53,DQN-ReLU-transfer
193,transfer,DQN-ReLU-transfer-136,137,2,5.84,DQN-ReLU-transfer
194,transfer,DQN-ReLU-transfer-136,137,3,7.31,DQN-ReLU-transfer
195,transfer,DQN-ReLU-vf5-transfer-3,4,2,9.99,DQN-ReLU-vf5-transfer
196,transfer,DQN-ReLU-vf5-transfer-3,4,1,10.0,DQN-ReLU-vf5-transfer
197,transfer,DQN-ReLU-vf5-transfer-3,4,0,10.0,DQN-ReLU-vf5-transfer
198,transfer,DQN-ReLU-vf5-transfer-3,4,4,10.0,DQN-ReLU-vf5-transfer
199,transfer,DQN-ReLU-vf5-transfer-3,4,3,9.13,DQN-ReLU-vf5-transfer
200,transfer,DQN-ReLU-vf5-transfer-90,91,1,8.72,DQN-ReLU-vf5-transfer
201,transfer,DQN-ReLU-vf5-transfer-90,91,4,9.38,DQN-ReLU-vf5-transfer
202,transfer,DQN-ReLU-vf5-transfer-90,91,2,9.0,DQN-ReLU-vf5-transfer
203,transfer,DQN-ReLU-vf5-transfer-90,91,0,9.62,DQN-ReLU-vf5-transfer
204,transfer,DQN-ReLU-vf5-transfer-90,91,3,9.94,DQN-ReLU-vf5-transfer
205,transfer,DQN-ReLU-transfer-76,77,1,9.53,DQN-ReLU-transfer
206,transfer,DQN-ReLU-transfer-76,77,2,8.71,DQN-ReLU-transfer
207,transfer,DQN-ReLU-transfer-76,77,4,9.11,DQN-ReLU-transfer
208,transfer,DQN-ReLU-transfer-76,77,0,9.95,DQN-ReLU-transfer
209,transfer,DQN-ReLU-transfer-76,77,3,9.04,DQN-ReLU-transfer
210,transfer,DQN-ReLU-transfer-121,122,1,8.35,DQN-ReLU-transfer
211,transfer,DQN-ReLU-transfer-121,122,0,9.17,DQN-ReLU-transfer
212,transfer,DQN-ReLU-transfer-121,122,4,9.06,DQN-ReLU-transfer
213,transfer,DQN-ReLU-transfer-121,122,2,9.64,DQN-ReLU-transfer
214,transfer,DQN-ReLU-transfer-121,122,3,9.68,DQN-ReLU-transfer
215,transfer,DQN-ReLU-transfer-156,157,3,5.32,DQN-ReLU-transfer
216,transfer,DQN-ReLU-transfer-156,157,0,6.74,DQN-ReLU-transfer
217,transfer,DQN-ReLU-transfer-156,157,1,3.01,DQN-ReLU-transfer
218,transfer,DQN-ReLU-transfer-156,157,4,2.09,DQN-ReLU-transfer
219,transfer,DQN-ReLU-transfer-156,157,2,1.7400000000000002,DQN-ReLU-transfer
220,transfer,DQN-ReLU-transfer-77,78,2,3.13,DQN-ReLU-transfer
221,transfer,DQN-ReLU-transfer-77,78,0,8.780000000000001,DQN-ReLU-transfer
222,transfer,DQN-ReLU-transfer-77,78,3,8.99,DQN-ReLU-transfer
223,transfer,DQN-ReLU-transfer-77,78,4,8.01,DQN-ReLU-transfer
224,transfer,DQN-ReLU-transfer-77,78,1,8.42,DQN-ReLU-transfer
225,transfer,DQN-ReLU-vf5-transfer-44,45,4,10.0,DQN-ReLU-vf5-transfer
226,transfer,DQN-ReLU-vf5-transfer-44,45,3,9.97,DQN-ReLU-vf5-transfer
227,transfer,DQN-ReLU-vf5-transfer-44,45,0,9.06,DQN-ReLU-vf5-transfer
228,transfer,DQN-ReLU-vf5-transfer-44,45,2,9.96,DQN-ReLU-vf5-transfer
229,transfer,DQN-ReLU-vf5-transfer-44,45,1,10.0,DQN-ReLU-vf5-transfer
230,transfer,DQN-ReLU-transfer-161,162,0,8.9,DQN-ReLU-transfer
231,transfer,DQN-ReLU-transfer-161,162,2,8.01,DQN-ReLU-transfer
232,transfer,DQN-ReLU-transfer-161,162,1,9.09,DQN-ReLU-transfer
233,transfer,DQN-ReLU-transfer-161,162,4,8.57,DQN-ReLU-transfer
234,transfer,DQN-ReLU-transfer-161,162,3,8.82,DQN-ReLU-transfer
235,transfer,DQN-ReLU-vf5-transfer-129,130,4,9.41,DQN-ReLU-vf5-transfer
236,transfer,DQN-ReLU-vf5-transfer-129,130,3,9.41,DQN-ReLU-vf5-transfer
237,transfer,DQN-ReLU-vf5-transfer-129,130,0,10.0,DQN-ReLU-vf5-transfer
238,transfer,DQN-ReLU-vf5-transfer-129,130,1,9.27,DQN-ReLU-vf5-transfer
