,Environment,Algorithm,Goal,Seed,AUC
286,transfer,DQN-ReLU-vf5-transfer-28,28,3,10.0
287,transfer,DQN-ReLU-vf5-transfer-28,28,4,9.780000000000001
288,transfer,DQN-ReLU-vf5-transfer-28,28,1,9.83
289,transfer,DQN-ReLU-vf5-transfer-28,28,2,10.0
290,transfer,DQN-ReLU-transfer-60,60,2,8.58
291,transfer,DQN-ReLU-transfer-60,60,4,9.280000000000001
292,transfer,DQN-ReLU-transfer-60,60,3,9.2
293,transfer,DQN-ReLU-transfer-60,60,1,9.030000000000001
294,transfer,DQN-ReLU-transfer-60,60,0,8.25
295,transfer,DQN-ReLU-vf5-transfer-68,68,3,10.0
296,transfer,DQN-ReLU-vf5-transfer-68,68,0,9.74
297,transfer,DQN-ReLU-vf5-transfer-68,68,1,9.99
298,transfer,DQN-ReLU-vf5-transfer-68,68,4,8.61
299,transfer,DQN-ReLU-vf5-transfer-68,68,2,9.96
300,transfer,DQN-ReLU-vf5-transfer-13,13,0,10.0
301,transfer,DQN-ReLU-vf5-transfer-13,13,4,10.0
302,transfer,DQN-ReLU-vf5-transfer-13,13,1,10.0
303,transfer,DQN-ReLU-vf5-transfer-13,13,2,9.969999999999999
304,transfer,DQN-ReLU-vf5-transfer-13,13,3,9.93
305,transfer,DQN-ReLU-transfer-100,100,1,8.370000000000001
306,transfer,DQN-ReLU-transfer-100,100,4,2.37
307,transfer,DQN-ReLU-transfer-100,100,2,0.86
308,transfer,DQN-ReLU-transfer-100,100,0,8.47
309,transfer,DQN-ReLU-transfer-100,100,3,5.109999999999999
310,transfer,DQN-ReLU-vf5-transfer-49,49,4,9.92
311,transfer,DQN-ReLU-vf5-transfer-49,49,2,9.92
312,transfer,DQN-ReLU-vf5-transfer-49,49,0,10.0
313,transfer,DQN-ReLU-vf5-transfer-49,49,3,10.0
314,transfer,DQN-ReLU-vf5-transfer-49,49,1,10.0
315,transfer,DQN-ReLU-vf5-transfer-152,152,0,10.0
316,transfer,DQN-ReLU-vf5-transfer-152,152,1,10.0
317,transfer,DQN-ReLU-vf5-transfer-152,152,2,9.06
318,transfer,DQN-ReLU-vf5-transfer-152,152,4,9.11
319,transfer,DQN-ReLU-vf5-transfer-152,152,3,9.95
320,transfer,DQN-ReLU-transfer-20,20,2,9.86
321,transfer,DQN-ReLU-transfer-20,20,3,9.98
322,transfer,DQN-ReLU-transfer-20,20,0,10.0
323,transfer,DQN-ReLU-transfer-20,20,1,9.98
324,transfer,DQN-ReLU-transfer-20,20,4,9.99
325,transfer,DQN-ReLU-vf5-transfer-108,108,4,8.96
326,transfer,DQN-ReLU-vf5-transfer-108,108,0,10.0
327,transfer,DQN-ReLU-vf5-transfer-108,108,3,10.0
328,transfer,DQN-ReLU-vf5-transfer-108,108,2,9.58
329,transfer,DQN-ReLU-vf5-transfer-108,108,1,8.98
330,transfer,DQN-ReLU-transfer-51,51,2,9.67
331,transfer,DQN-ReLU-transfer-51,51,3,9.7
332,transfer,DQN-ReLU-transfer-51,51,1,9.780000000000001
333,transfer,DQN-ReLU-transfer-51,51,4,9.879999999999999
334,transfer,DQN-ReLU-transfer-51,51,0,9.98
335,transfer,DQN-ReLU-transfer-140,140,2,9.379999999999999
336,transfer,DQN-ReLU-transfer-140,140,1,9.11
337,transfer,DQN-ReLU-transfer-140,140,0,9.57
338,transfer,DQN-ReLU-transfer-140,140,3,9.45
339,transfer,DQN-ReLU-transfer-140,140,4,9.19
340,transfer,DQN-ReLU-vf5-transfer-169,169,0,9.84
341,transfer,DQN-ReLU-vf5-transfer-169,169,4,9.95
342,transfer,DQN-ReLU-vf5-transfer-169,169,3,9.620000000000001
343,transfer,DQN-ReLU-vf5-transfer-169,169,2,8.23
344,transfer,DQN-ReLU-vf5-transfer-169,169,1,9.620000000000001
