,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
140,DQN-13.json,DQN-13,500000,8,0.8525674330031568,4262.837165015784,1.2853426997154083
141,DQN-13.json,DQN-13,500000,5,1.0589052044634755,5294.526022317377,1.4500269085982482
142,DQN-13.json,DQN-13,500000,2,1.1587401744659953,5793.700872329977,1.4887898793922723
143,DQN-13.json,DQN-13,500000,20,0.9449387841161037,4724.693920580518,1.2717928512940107
144,DQN-13.json,DQN-13,500000,14,0.741811154625751,3709.055773128755,1.0850429267841395
145,DQN-13.json,DQN-13,500000,29,0.9689733976641873,4844.866988320937,1.2931439011369097
146,DQN-13.json,DQN-13,500000,17,1.0305486483608346,5152.7432418041735,1.378539302654204
147,DQN-13.json,DQN-13,500000,26,0.9804325778477138,4902.162889238569,1.3809838017311438
148,DQN-13.json,DQN-13,500000,11,0.9542955543041957,4771.477771520978,1.2909903491431427
149,DQN-13.json,DQN-13,500000,23,0.8784231416464823,4392.115708232412,1.1798165392731115
150,DRQN-9.json,DRQN-9,500000,9,1.0080278617945666,5040.1393089728335,1.0998941003506275
151,DRQN-9.json,DRQN-9,500000,0,1.1487882849308455,5743.941424654227,1.235791483311343
152,DRQN-9.json,DRQN-9,500000,21,1.0653546387877877,5326.773193938939,1.1654097308822084
153,DRQN-9.json,DRQN-9,500000,18,1.1588476046183585,5794.2380230917925,1.2482725832025152
154,DRQN-9.json,DRQN-9,500000,12,0.9705451553786238,4852.7257768931195,1.0295225740064389
155,DRQN-9.json,DRQN-9,500000,24,0.9196461207171882,4598.230603585941,1.0314585124617017
156,DRQN-9.json,DRQN-9,500000,6,1.0834275193367826,5417.137596683913,1.211859289165545
157,DRQN-9.json,DRQN-9,500000,3,0.9218909372285531,4609.454686142765,1.0085520589173937
158,DRQN-9.json,DRQN-9,500000,15,0.9813195346905506,4906.597673452753,1.0155928296906038
159,DRQN-9.json,DRQN-9,500000,27,0.9840119259715797,4920.0596298578985,1.046187312044846
160,DRQN-9.json,DRQN-9,500000,4,1.0188660483805416,5094.330241902708,1.1873467171684107
161,DRQN-9.json,DRQN-9,500000,1,1.0009083313544747,5004.541656772373,1.125228616936563
162,DRQN-9.json,DRQN-9,500000,16,1.069029702825829,5345.148514129145,1.1551422996702867
163,DRQN-9.json,DRQN-9,500000,7,1.1568885630808257,5784.442815404129,1.2805774037641637
164,DRQN-9.json,DRQN-9,500000,10,0.7479671694953284,3739.835847476642,0.7955163320974339
165,DRQN-9.json,DRQN-9,500000,13,0.7650083323651373,3825.041661825687,0.9325393948842459
166,DRQN-9.json,DRQN-9,500000,22,1.0890924370730908,5445.4621853654535,1.188606741252115
167,DRQN-9.json,DRQN-9,500000,28,1.0733530969282532,5366.765484641266,1.1895657446105732
168,DRQN-9.json,DRQN-9,500000,19,1.1534451030372093,5767.225515186046,1.257535184854871
169,DRQN-9.json,DRQN-9,500000,25,0.9869724971584121,4934.86248579206,1.0855376553610134
170,DRQN-9.json,DRQN-9,500000,5,1.0691225429879414,5345.612714939707,1.113185828157763
171,DRQN-9.json,DRQN-9,500000,2,1.1499769387819132,5749.884693909566,1.2713481232525174
