,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
98,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-25,25,100000,4,9.51,5315.0,1.0
99,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-25,25,100000,2,8.66,4818.0,1.0
100,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-85,85,100000,0,9.49,4377.0,1.0
101,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-85,85,100000,3,8.75,4049.0,1.0
102,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-85,85,100000,4,8.82,4084.0,1.0
103,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-85,85,100000,1,8.15,3792.0,1.0
104,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-85,85,100000,2,8.23,3680.0,0.9980392156862744
105,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-80,80,100000,3,9.29,6429.0,1.0
106,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-80,80,100000,0,9.49,6524.0,1.0
107,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-80,80,100000,1,8.46,6009.0,1.0
108,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-80,80,100000,4,9.25,6308.0,1.0
109,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-80,80,100000,2,9.48,6279.0,1.0
110,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-0,0,100000,0,8.74,3291.0,1.0
111,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-0,0,100000,3,8.96,3410.0,1.0
112,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-0,0,100000,1,8.89,3461.0,1.0
113,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-0,0,100000,4,8.16,3141.0,1.0
114,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-0,0,100000,2,7.38,2685.0,1.0
115,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-145,145,100000,3,9.35,5999.0,1.0
116,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-145,145,100000,0,9.13,5854.0,1.0
117,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-145,145,100000,1,8.2,5399.0,1.0
118,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-145,145,100000,4,9.79,6012.0,1.0
119,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-145,145,100000,2,9.06,5694.0,1.0
120,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-130,130,100000,3,9.95,6092.0,1.0
121,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-130,130,100000,0,9.68,5722.0,1.0
122,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-130,130,100000,4,9.16,5508.0,1.0
123,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-130,130,100000,1,9.67,5924.0,1.0
124,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-130,130,100000,2,9.22,5571.0,1.0
125,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-135,135,100000,3,9.42,5559.0,1.0
